GeneratedReview,label,source,category,Prompt
"Am cumparat acest produs de pe eMAG si... Nu m-am asteptat. Nu se poate ridica la nivelul asteptarilor. Nu recomand. Se blocheaza pe loc, deci nu a putut fi folosit la volan. Dupa 4 zile de utilizare, nu a fost nevoie de reinitializare. In rest... Nu recomand. Produsul este super si se aseaza perfect, dar este de o calitate foarte proasta. Nu recomand",fake,generated with fine-tuned model,uscator de rufe,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... am ramas masca... Sunt foarte multumita! Sunt foarte multumita! Nu ma asteptam sa fie asa calitative! Le folosesc zilnic de cnd le-am cumparat, pentru prima data si sunt extrem de multumita! Dupa o luna de utilizare mi-a trecut durerea de cap si am uitat de probleme! Sunt exact ca in descriere. Foarte multumit! E foarte ok! Isi",fake,generated with fine-tuned model,blender,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... Imi pare rau. Am avut si alte telefoane, la fel de bune si pe care le-am dat jos si au cazut jos. S-au rupt si au cazut. Se desface foarte usor. Se aseaza usor pe ecran. Sunt multumit. Se poate monta pe un ecran compatibil. Se vede excelent. Este super. Se pot incarca de la un incar",fake,generated with fine-tuned model,masina de spalat,Am cumparat acest produs de pe eMAG si...
Am cumparat acest produs de pe eMAG si... Sunt ok. Foarte multumit. Livrare prompta. Am comandat 2 in unul. Recomand. Recomand. Un produs foarte bun. Multumesc! Recomand cu incredere!!! Livrare prompta. Livrare super ok. Recomand!Recomand🥰🥰🥰🥰🥰🥰🥰🥰,fake,generated with fine-tuned model,laptop,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... La un pret asa mic, chiar nu ma asteptam sa aiba o garantie att de mare.. Am facut retur... Am luat-o pe aceea cu care am platit. Este foarte buna si de calitate, recomand. Am sa mai cumpar.. Momentan am de gnd sa-mi bag picioarele.. A mers perfect! Multumesc.. Pentru cei ce se gndesc la ceva ce",fake,generated with fine-tuned model,telefon mobil,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... Nu functioneaza. Il folosesc din plin, si nu pot sa ma plng. Am avut probleme cu ele de la un timp, si nici macar nu pot sa ma plng. Am instalat-o si am luat la rndul meu un set de instru...",fake,generated with fine-tuned model,carte,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... Si dupa ce am cumparat-o pe aceasta... Sunt foarte multumita. E super comoda si foarte usor de montat. Este perfecta pentru o casa de vacanta. O recomand. Multumesc! Multumesc! Recomand, ca merita! 💰💰💰💰💰💰💰💰💰�",fake,generated with fine-tuned model,televizor,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... Se comporta extraordinar de bine. Functioneaza perfect. Este un produs perfect si nu merita banii. Pe lnga faptul ca este foarte bine finisat, este si bun, foarte practic si simplu de utilizat. Se potriveste pe o bicicleta de oras si am fost incntat. Este un produs excelent. Multumesc! Sunt foarte multumita! Este un produs foarte bun! Recomand!",fake,generated with fine-tuned model,husa de telefon,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... Am ramas surprins! Nu numai ca functioneaza perfect, dar il si protejeaza de lovituri. Recomand! Recomand! Nu am avut probleme pna acum! Este un produs foarte bun. Este un produs ieftin. Si, in acelasi timp, foarte elegant. Eu am cumparat de o mie de ori acest produs si de fiecare data am fost multumit. Nu am avut probleme!",fake,generated with fine-tuned model,casti audio,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si...Nu are miros... Nu se lipeste... E practic, rezistent, usor de montat.... Foarte multumit! Am luat deja 2.1.3 si imi fac treaba. Nu am nimic de reprosat! Recomand. Multumit! Am si alte telefoane! Telefonul e foarte bun... Este practic, este usor de montat, este si compact... Recomand! Este",fake,generated with fine-tuned model,produs de baie,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... Nu am avut timp sa setez pe masina de spalat vase de la Altex. Este o masina de spalat foarte buna, se spala foarte usor si se curata foarte usor! Se monteaza usor pe masina si eu de la 1 an si 2 luni de la spalare folosesc masina de spalat vase de la Altex. Nu sunt f f multe modele de produse",fake,generated with fine-tuned model,uscator de rufe,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... Usa nu se deschide! Nu m-a lasat sa pornesc telefonul, am pornit in schimb camera, iar bateria! Am dat doua telefoane, pe ambele le am stricat la prima pornire, nu a ramas nici o diferenta, doar ca eu sunt mai mult dect multumit! Recomand! Recomand! Multumesc Emag! Multumesc Emag! Multumesc Emag!",fake,generated with fine-tuned model,blender,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... Nu sunt tocmai multumit. Am observat o serie de gauri pe laterale si la partea superioara a husei, am desfacut cu greu. Am fost putin dezamagit de acest produs, dar sunt foarte multumita si de el. Dupa ce am desfacut folia si husele, acestea si-au facut treaba. Recomand!Am dat putin pe el si",fake,generated with fine-tuned model,masina de spalat,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... De-a dreptul sic... Am dat comanda online si cnd am vazut ca a sosit, am dat telefon si am asteptat sa primesc o confirmare. Am luat-o in ziua in care am primit comanda si a ajuns. Se incarca repede, recomand. Am luat-o pentru o masina de spalat rufe. O folosesc zilnic. Se curata foarte usor.",fake,generated with fine-tuned model,laptop,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... nici nu se aude. Nu stiu care e problema, dar in rest ok. E super. E foarte buna. Am folosit o de mai multe ori in trecut. Sunt foarte multumita. O folosesc de doua zile. Am pus un microfon si a sunat. A sunat tare. Nu pot sa spun ca e asa, dar la telefon nu a sunat. M",fake,generated with fine-tuned model,telefon mobil,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... Nu recomand!!! Produsul este foarte prost, iar faptul ca ambalajul are marginile indoite si contine multe resturi care au venit la mine de la un alt produs, este prea mare! Am pus folie peste folie si, dupa cteva zile de la primirea pachetului, a inceput sa curga de la folie. Am incercat sa o scot cu o surubelnita dar nu a",fake,generated with fine-tuned model,carte,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si...Nu se conformeaza asteptarilor mele! Este un produs foarte slab! Nu recomand! In concluzie, am returnat produsul...Nu am mai facut retur de la acest produs! Nu mai am nicio sansa sa-l revin!Sunt din nou dezamagit! Nu se potriveste la nicio masina si nu stiu ct de rezistente sunt...Nu stiu ct de rezistente sunt! Sunt",fake,generated with fine-tuned model,televizor,Am cumparat acest produs de pe eMAG si...
Am cumparat acest produs de pe eMAG si... nu a venit. Nu pot spune ca sunt multumit de calitatea lui. Nu poate fi folosit de un copil de 3 ani. De asemenea nu sunt multumit de acest telefon. Nu pot face comparatii cu telefoanele altor branduri. Sunt foarte multumit. Pe mine m-a convins. Am dat 3 luni la fiecare utilizare si a ajuns intact. Recomand. Nu stiu,fake,generated with fine-tuned model,husa de telefon,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... nu se compara. Foarte slab calitativ. Am dat comanda pe data de 14.10. La livrarea in timp (la 5 zile de la plasarea comenzii) si a fost deja lipit pe perete. Am asteptat 30 de zile pna sa-l returnez. Dupa ce am mai citit o data comentariile care l-au scris, a inceput sa curga mai putin",fake,generated with fine-tuned model,casti audio,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... De ce? In primul rnd nu se potriveste pe masina mea. Nu este destul de puternic nici pentru un buget mediu. In al doilea rnd este foarte incomod (s-ar putea sa-mi mannce ceva timp dupa ce il folosesc). In al treilea rnd, isi pierde din rigiditate cnd il pornesc. Sper sa se comporte ok la drum. Nu stiu",fake,generated with fine-tuned model,produs de baie,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... SLAB!! Nu a venit in 1-2 zile, iar daca se intmpla ceva sau nu se opreste, imi e mult mai usor sa comand un nou telefon dect un telefon nou!!!!! Mai mult dect att! Nu pot sa spun ca s-au rupt doar husa dar si ecranul, doar ca nu le-am mai folosit! Pacat!",fake,generated with fine-tuned model,uscator de rufe,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... De abia acum il avem in stoc. Un produs foarte bun, l-am cumparat in vederea pregatirii de la distanta a copilului meu pentru vacanta, pentru a fi sigur ca nu pateste nimic. Multumesc, eMAG! Multumesc, eMAG.ro! Multumit, eMAG.ro. In concluzie, imi place. Recomand. Multumit, eMAG.ro!",fake,generated with fine-tuned model,blender,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... a ajuns in 4 zile! Am dat 7 lei pentru el la curier. A ajuns destul de repede. Sunt foarte multumita! Am avut nevoie de folie ca sa nu intre praf in baterie. Recomand! Multumesc EMAG! E foarte bun!Am comandat 4 baterii noi si 2 baterii de la acelasi furnizor. Sunt foarte multumita! Am dat 8 lei, in",fake,generated with fine-tuned model,masina de spalat,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... Am avut nevoie doar de un surub de calitate... Nu merge si nu recomand! Nu recomand!!! Se blocheaza toate si se blocheaza in sine. Am comandat-o la mine si de atunci s-a blocat toata, cu suruburi sau alte suruburi mai mari. Nu mai functioneaza, iar cel de la telefon e doar pe post de suport pe telefon.",fake,generated with fine-tuned model,laptop,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... Sunt foarte multumita! Nu se dezlipeste deloc, se lipeste foarte bine. Are doua compartimente, fiecare cu cte 4 compartimente si e compartimentat pe latime. O folosesc pe post de masa de cafea, dar daca o las pe ea, se poate pierde toata cantitatea de cafea. Nu trebuie sa asteptati sa se intareasca, dar nici nu se lasa",fake,generated with fine-tuned model,telefon mobil,Am cumparat acest produs de pe eMAG si...
Am cumparat acest produs de pe eMAG si... Am facut doar retur... Dupa ce l-am returnat... Si a intrat in service... La fel ca si telefonul. Am dat doar 640 lei... Am dat doar 1 leu pe telefon... Dupa ce l-am returnat... De ce? Pentru ca s-a crapat de vreo 2 ori... Iar telefonul... Am dat doar 1 leu,fake,generated with fine-tuned model,carte,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... A inceput sa-mi fie greu sa le folosesc. Am incercat sa le folosesc doar pe cele 4 mari, dar pe acestea nu le-am folosit dect o singura data, in timp ce pe altele le-am folosit inca 3 luni. De cnd sunt femeie... le folosesc doar pe acestea 3. Nu pot sa spun ca sunt foarte bune... Nu recomand",fake,generated with fine-tuned model,televizor,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... Dar am avut neplacerea sa il vad pe emag intr-o pozitie de proasta calitate... Dupa ce am iesit din husa canapelei din partea de sus, din plastic, au fost cteva crapaturi mici... Dar, din pacate, nu am reusit sa le sterg... Nu merita banii! Este doar de plastic! Mai ales in partea de sus",fake,generated with fine-tuned model,husa de telefon,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... Nu l-am putut prinde. Nici macar nu am reusit sa gasesc telefonul. De cumparat de la cineva... De la un serviciu de curierat, de pe emag. S-a defectat imediat si nu l-am putut prinde. Am trecut prin vreo 4-5 magazine, de toate felurile. A fost foarte greu sa gasesc telefonul. Nici macar",fake,generated with fine-tuned model,casti audio,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... Am folosit de 2 ori, pna acum. Nu se aseaza si nici nu se prinde bine. Calitate:Rezistenta, pret si depozitare. Un produs bun!Recomand!Merita!Iluminarea este foarte buna. De multe ori se pierde si din lumina. Foarte slab, dar nu-i nimic. Este la fel ca",fake,generated with fine-tuned model,produs de baie,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si...Am fost foarte multumita! In comparatie cu altele, arata exact ca si originalul! Nu am nimic de reprosat! Multumesc!Recomand!Astept comanda! Multumesc!Recomand!Recomand!Calitate excelenta!Recomand!Recomand!Recomand!Recomand!Recomand!Recomand",fake,generated with fine-tuned model,uscator de rufe,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... Nu stiu daca sunt la nivelul lor, dar la cel putin 5 ani de la achizitie nu s-au stricat asa de tare. Au fost si niste probleme cu livrarea.. Se puteau rupe in 2.. Ca sa nu mai zic ca sunt si niste minusuri pe la modulatorul de sunet. Am luat doar acest telefon. Telefonul este destul de ok.. Se",fake,generated with fine-tuned model,blender,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... Dar nu este identic. De exemplu, e un produs diferit, fata de cel de la alte firme. Este un produs de calitate. Se potriveste perfect si la Golf. Am mai luat 2-3 modele de la alte marci. Nici nu vreau sa mai zic de cel de la Audi si Golf. Sunt foarte multumita de acest produs. Am facut poze dar",fake,generated with fine-tuned model,masina de spalat,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... A venit repede si in ambalajul original! Este o minune pentru mine! Am mai cumparat un produs de pe Emag, si... A venit repede si in ambalajul original! Este o minune pentru mine!Am mai cumparat un produs de pe EMAG, si... A venit repede si in ambalajul original! Este o minune pentru mine!Am mai achizitionat un produs",fake,generated with fine-tuned model,laptop,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... Se misca foarte bine si sunt foarte multumita de acest model! A ajuns a doua zi la depozit!! Multumesc!!Am mai cumparat si un telefon de la acelasi magazin care se comporta excelent si era super!Este o tableta puternica, o am de 3 luni si a ajuns a doua zi la depozit!! Am comandat o de la ei si... Este super! Este",fake,generated with fine-tuned model,telefon mobil,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... Si eu sunt de acord cu aceasta descriere, e super ok, nu le mai spargeti pe toate. Le folosim mai des dect trebuie pentru ca nu e deloc o folie de buna calitate. Le place copiilor mei. Am cumparat si la alte persoane... Dar cred ca daca le-am dat la copii s-au bucurat foarte mult. Nu se lipesc",fake,generated with fine-tuned model,carte,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... S-a rupt o placuta la el, este foarte mic. Nici nu mai stiu cum sa il refac. Sunt foarte nemultumita de acest telefon! Chiar nu se merita. Nu sunt un mare fan, insa trebuie sa fiu foarte atenta la pretul telefonului. Pe cel pe care l-am cumparat, nu il voi mai achizitiona niciodata! Il",fake,generated with fine-tuned model,televizor,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... Se potriveste perfect. Recomand. Se potriveste ca model la o masina. Sunt foarte multumita. Se potrivesc perfect! Nu am avut nicio problema in plus cu ele... Recomand! Sunt exact ce trebuie. Sunt exact cum le-am cumparat. Foarte foarte multumita! Le-am comandat online si au ajuns la mine pe neasteptate. Multumesc, eMAG!!! Sunt superbe!",fake,generated with fine-tuned model,husa de telefon,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... Din pacate, nu am avut dect cteva luni in care sa ma gndesc la achizitionare, am avut doar cteva luni de la achizitie! Sunt foarte multumita de acest telefon! Imi place foarte mult! Are un pret extraordinar si este suficient de puternic pentru a fi folosit in cele mai multe situatii! Un telefon tare, rezistent si care arata bine pe ecranul telefonului!",fake,generated with fine-tuned model,casti audio,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... Pe drum... Nu se potrivea cu cele originale. Se aseaza ciudat pe bordul masinii, in unele situatii... Le folosesc de ceva timp si sunt foarte multumit. Recomand! Recomand! Produs foarte bun! Recomand! Recomand! Recomand! Produsul a ajuns intact... Multumesc! Recomand!! Multumit! Recomand!! Este un produs de calitate!!! Recomand!! Multumita!",fake,generated with fine-tuned model,produs de baie,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... Am primit doar 2 bucati. Produsul nu este complet. Se poate rupe usor din prima si este o problema foarte mare la returnat. Si o alta problema este ca nu se potriveste cu geanta si este putin mai ingusta... Se pare ca a ajuns deteriorat. Deci daca e vorba de acest model, nu cred ca o sa il mai folositi! Am trimis retur",fake,generated with fine-tuned model,uscator de rufe,Am cumparat acest produs de pe eMAG si...
Am cumparat acest produs de pe eMAG si... Am dat de un produs gresit. E foarte bun. Foarte ieftin si destul de sigur. Nu am de ce sa ma plng. Copilul meu a fost extrem de incntat de el. Si parintii lui. Sunt mult mai bine informati dect cei de la eMAG. Sunt mult mai incntati de aceste produse. Am de gnd sa-l recomand si altor parinti. Si,fake,generated with fine-tuned model,blender,Am cumparat acest produs de pe eMAG si...
Am cumparat acest produs de pe eMAG si... Foarte repede. Imi place si sunt multumit! Recomand! Este de calitate. Bebe este foarte incntat de el! Recomand! Este foarte util! Este un produs cu pret decent. Isi merita banii! Este super! Recomand. Este super! Nu m-am asteptat! Le are pe toate si de toate pentru o viata... MULTA! A mea,fake,generated with fine-tuned model,masina de spalat,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... Am fost socat! Produsul este exact ce mi doream! O folie de sticla pentru fiecare dintre cele doua camere. Sticla este de buna calitate, iar calitatea se potriveste cu pretul! Am mai luat un telefon. E usor de utilizat, are un ecran alb si are o autonomie buna, poate chiar mai buna dect cea a telefonului. Mai adaug la asta",fake,generated with fine-tuned model,laptop,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si...nu am de ce sa ma plng. Este bun. Bebe a fost foarte multumit de el. Nu-mi ramne dect sa-l folosesc pentru alte modele de jucarii. Se aude super tare. Fetita mea de 6 luni il adora. Sunt multumita de el. Recomand. Pentru copii care nu au probleme cu greutatea, este util. Isi lasa pielea",fake,generated with fine-tuned model,telefon mobil,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... nu mai functioneaza. Am sunat la un service, dar nu au raspuns. Imi pare rau, am crezut ca este din cauza lui. Nu recomand! Este cel mai bun de pe piata! O masina de spalat buna! Se potriveste perfect! Este doar un surub, nu are nici o utilitate si nici nu este un produs de o calitate foarte buna. In",fake,generated with fine-tuned model,carte,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... Mi-a fost livrat dupa 5 zile.. Initial am comandat 2 cutii si am ajuns la final cu cea de 1.5.5.. Nu am avut probleme cu livrarea.. Dar pe ambalaj scrie ca sunt ok.. Nu recomand, nu cumparati! Am returnat si a venit la mine pe telefon. La fiecare 2 zile. O sa incerc sa fac poze",fake,generated with fine-tuned model,televizor,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... Nu-mi place! Nu e ceea ce am asteptat sa fie!! Se blocheaza si se blocheaza de la o zi sau chiar 2!! Mi se par foarte bune pentru pretul lor!! Plus, cred ca sunt cele mai bune!!! Nici nu se pot lipi!!! Sunt prea grele pt mine!! Am cumparat 4! Sunt mult mai usoare dect mine!! Dupa cteva utilizari",fake,generated with fine-tuned model,husa de telefon,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... Mi se pare o prostie. E de 30 lei si se rupe extrem de usor. Deci nu recomand. Nu recomand, mai ales persoanelor de vrsta a treia... Sunt ca un cadou pe care l-ai dat unei persoane foarte in vrsta. Sunt o persoana mai in vrsta dect vrsta mea. Nici nu cred ca se poate vorbi de un defect. Am avut",fake,generated with fine-tuned model,casti audio,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... Nu sunt multumita. In primul rnd nu se potriveste la absolut nimic. Am luat o saltea tare si foarte putin elastica si, nu pot sa spun ca este un avantaj. In al doilea rnd nu are nimic de a face cu sistemul de prindere pentru bebelusi. Are cteva detalii care sunt total irelevante. E foarte comoda si cred ca bebelusul meu o va",fake,generated with fine-tuned model,produs de baie,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... Mai sunt 6 saptamni pna la a patra utilizare. Am comandat 3 produse din alta parte, iar in urma acestei comenzi, acestea au fost primele pe care le-am primit. Toate celelalte 3 au fost returnate. Este foarte buna! Recomand! Multumesc eMAG!Este foarte buna! Recomand! Recomand!🥰🥰�",fake,generated with fine-tuned model,uscator de rufe,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... Imi place. Este foarte confortabil. Nu am probleme de sanatate. Recomand. Este foarte multumit. Este super ieftin. Recomand!Am inceput sa folosesc acest scaun de 4 luni. Sunt foarte multumita de scaun. Se potriveste perfect, se asambleaza foarte usor. Foarte eficient. Este sigur. Am testat si cteva modele de easytronic, dar sunt",fake,generated with fine-tuned model,blender,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... Este bun... Dar daca iti trebuie bani sa-l cumperi e de preferat sa nu dai banii pe el.. Acum, sunt foarte incntata. Recomand! Se potriveste perfect. Se desface usor.. O recomand! E foarte buna! Multumesc. Sunt foarte multumita. Multumesc, eMAG. Multumesc, eMAG. Am luat aceasta cutie pentru un Renault Megane, iar cu",fake,generated with fine-tuned model,masina de spalat,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... Nu functioneaza. Am dat 3 telefoane si au mers fara probleme. Am fost la un centru pentru montarea aparatului si totul a fost ok. La telefon nu mai functioneaza touch. In rest... Am rezolvat problema cu el (la telefon) si... Ramne de vazut cum il vor rezolva cei de la eMAG. Sper sa se rezolve ct mai repede. In plus,",fake,generated with fine-tuned model,laptop,Am cumparat acest produs de pe eMAG si...
Am cumparat acest produs de pe eMAG si... Este foarte bun si rezistent! Livrare prompta si de calitate! Este foarte util! Pentru o perioada lunga de timp! Recomand! Se potriveste perfect! E foarte bun! Se potriveste pentru un telefon Huawei cu hardware de top! O sa tin cont de ce spun! Am dat 2 stele si telefonului Huawei P20 Pro si a fost un plus! Acum,fake,generated with fine-tuned model,telefon mobil,Am cumparat acest produs de pe eMAG si...
Am cumparat acest produs de pe eMAG si... Foarte multumit! Produsul de calitate! Recomand! Livrare prompta. Produsul este conform asteptarilor! Foarte bun produsul! Isi merita banii! Livrare rapida. Recomand! Livrare imediata. Produsul este excelent! Recomand! Livrare rapida. Produsul este de cea mai buna calitate. Livrare prompta. Produsul este de cea mai buna calitate! Livrare rapida,fake,generated with fine-tuned model,carte,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... Nu are miros, nu se pulverizeaza si nu curge nimic pe ea.. Un produs de calitate. Am ramas f multumita. Sper sa reziste pna la 1an. Recomand!!! Se aude f bine! E pentru copii de 4 luni! Am pus-o in leagan, la fel. Am pus-o in masina si.. In sfrsit a mai putut fi",fake,generated with fine-tuned model,televizor,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... Am ramas surprins ca nu este un telefon de top, dar in rest sunt foarte multumita. Nu am asteptat telefonul sa se incarce foarte repede, dar in schimb mi-am facut o idee. Nu am timp sa intru pe iphone si pe iphone phone pentru a schimba bateria. Este bun si ma ajuta mult. In concluzie e un telefon foarte bun",fake,generated with fine-tuned model,husa de telefon,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... Mai mult, am facut retur dupa cteva zile de folosire.... La acest pret mi se pare putin cam ieftin.... Am facut un retur.... Cu toate acestea... Nu recomand! Se irita foarte usor si nu recomand!! Recomand!.... Se usuca greu si lasa un miros de cetina.... E o prostie. Nu am mai luat un parfum de 20 de ani!",fake,generated with fine-tuned model,casti audio,Am cumparat acest produs de pe eMAG si...
"Am cumparat acest produs de pe eMAG si... Pe lnga faptul ca este foarte util pentru cei care stau blocati in trafic si au nevoie de transportul cu masina, produsul este foarte util si la transportul in comun. Are o greutate de 540 kg. Recomand! Este util ca transport de marfa dar si ca mijloc de transport pentru pasageri. Se potriveste perfect si in transportul in comun pentru ca are un volan",fake,generated with fine-tuned model,produs de baie,Am cumparat acest produs de pe eMAG si...
